",mass A,,"
"t,x,y,"
"6.767,-0.365,7.181E-2"
"6.800,-0.362,7.119E-2"
"6.833,-0.359,7.085E-2"
"6.867,-0.356,7.054E-2"
"6.900,-0.353,7.039E-2"
"6.933,-0.351,6.997E-2"
"6.967,-0.349,7.020E-2"
"7.000,-0.348,6.971E-2"
"7.033,-0.349,6.912E-2"
"7.067,-0.350,6.912E-2"
"7.100,-0.351,6.917E-2"
"7.133,-0.352,6.931E-2"
"7.167,-0.351,6.927E-2"
"7.200,-0.350,6.898E-2"
"7.233,-0.349,6.863E-2"
"7.267,-0.348,6.845E-2"
"7.300,-0.347,6.839E-2"
"7.333,-0.347,6.818E-2"
"7.367,-0.347,6.772E-2"
"7.400,-0.347,6.735E-2"
"7.433,-0.346,6.730E-2"
"7.467,-0.346,6.734E-2"
"7.500,-0.345,6.760E-2"
"7.533,-0.347,6.932E-2"
"7.567,-0.351,7.468E-2"
"7.600,-0.363,8.289E-2"
"7.633,-0.375,8.515E-2"
"7.667,-0.387,7.837E-2"
"7.700,-0.398,6.815E-2"
"7.733,-0.411,7.460E-2"
"7.767,-0.416,7.836E-2"
"7.800,-0.425,7.780E-2"
"7.833,-0.431,7.738E-2"
"7.867,-0.436,7.728E-2"
"7.900,-0.439,7.616E-2"
"7.933,-0.440,7.380E-2"
"7.967,-0.441,7.021E-2"
"8.000,-0.440,6.807E-2"
"8.033,-0.439,6.803E-2"
"8.067,-0.438,6.906E-2"
"8.100,-0.438,6.992E-2"
"8.133,-0.436,7.019E-2"
"8.167,-0.433,6.921E-2"
"8.200,-0.431,6.855E-2"
"8.233,-0.427,6.872E-2"
"8.267,-0.423,6.913E-2"
"8.300,-0.418,6.822E-2"
"8.333,-0.415,6.630E-2"
"8.367,-0.412,6.521E-2"
"8.400,-0.411,6.492E-2"
"8.433,-0.411,6.435E-2"
"8.467,-0.411,6.454E-2"
"8.500,-0.412,6.476E-2"
"8.533,-0.411,6.432E-2"
"8.567,-0.411,6.408E-2"
"8.600,-0.410,6.425E-2"
"8.633,-0.409,6.415E-2"
"8.667,-0.410,6.407E-2"
"8.700,-0.410,6.420E-2"
"8.733,-0.411,6.442E-2"
"8.767,-0.411,6.438E-2"
"8.800,-0.411,6.437E-2"
"8.833,-0.411,6.479E-2"
"8.867,-0.411,6.562E-2"
"8.900,-0.414,6.960E-2"
"8.933,-0.422,8.138E-2"
"8.967,-0.429,8.618E-2"
"9.000,-0.443,8.741E-2"
"9.033,-0.454,8.138E-2"
"9.067,-0.467,7.083E-2"
"9.100,-0.478,6.909E-2"
"9.133,-0.489,7.505E-2"
"9.167,-0.499,7.994E-2"
"9.200,-0.506,8.360E-2"
"9.233,-0.512,8.366E-2"
"9.267,-0.517,8.275E-2"
"9.300,-0.520,8.373E-2"
"9.333,-0.522,8.296E-2"
"9.367,-0.524,7.848E-2"
"9.400,-0.526,7.420E-2"
"9.433,-0.527,7.040E-2"
"9.467,-0.528,6.456E-2"
"9.500,-0.528,6.161E-2"
"9.533,-0.526,6.175E-2"
"9.567,-0.523,6.086E-2"
"9.600,-0.519,6.085E-2"
"9.633,-0.514,6.007E-2"
"9.667,-0.508,5.989E-2"
"9.700,-0.505,5.808E-2"
"9.733,-0.504,5.609E-2"
"9.767,-0.502,5.471E-2"
"9.800,-0.502,5.462E-2"
"9.833,-0.503,5.539E-2"
"9.867,-0.504,5.688E-2"
"9.900,-0.507,5.870E-2"
"9.933,-0.510,6.044E-2"
"9.967,-0.514,6.003E-2"
"10.000,-0.516,6.120E-2"
"10.033,-0.517,6.083E-2"
"10.067,-0.518,6.084E-2"
"10.100,-0.518,6.086E-2"
"10.133,-0.517,6.113E-2"
"10.167,-0.516,6.097E-2"
"10.200,-0.515,6.114E-2"
"10.233,-0.514,6.213E-2"
"10.267,-0.516,6.760E-2"
"10.300,-0.521,8.063E-2"
"10.333,-0.526,8.696E-2"
"10.367,-0.534,9.039E-2"
"10.400,-0.546,9.230E-2"
"10.433,-0.563,9.042E-2"
"10.467,-0.573,7.761E-2"
"10.500,-0.589,6.330E-2"
"10.533,-0.594,6.932E-2"
"10.567,-0.599,7.912E-2"
"10.600,-0.605,8.388E-2"
"10.633,-0.610,8.567E-2"
"10.667,-0.613,8.272E-2"
"10.700,-0.615,7.844E-2"
"10.733,-0.617,7.588E-2"
"10.767,-0.619,7.582E-2"
"10.800,-0.621,7.335E-2"
"10.833,-0.622,6.976E-2"
"10.867,-0.622,6.491E-2"
"10.900,-0.620,6.393E-2"
"10.933,-0.618,6.599E-2"
"10.967,-0.615,6.649E-2"
"11.000,-0.611,6.370E-2"
"11.033,-0.604,6.160E-2"
"11.067,-0.597,5.907E-2"
